ID,Index,Peak Name,m/z,Ret. Time,Group,Use,Tissue
Leave_0,1,50.0/0.6 (1),49.9931,0.64,(Monoisotopic),TRUE,Leave
Leave_1,2,51.0/0.6 (2),50.9901,0.64,(Monoisotopic),TRUE,Leave
Leave_2,3,52.0/0.7 (3),51.9869,0.65,,TRUE,Leave
Leave_3,4,53.0/0.7 (4),53.02,0.65,(Monoisotopic),TRUE,Leave
Leave_4,5,53.5/0.6 (5),53.5215,0.63,(Isotope),TRUE,Leave
Leave_5,6,54.0/2.6 (6),54.0096,2.63,(Monoisotopic),TRUE,Leave
Leave_6,7,54.0/0.8 (7),54.01,0.76,,TRUE,Leave
Leave_7,8,54.0/21.5 (8),54.0101,21.53,,TRUE,Leave
Leave_8,9,54.0/0.6 (9),54.0106,0.62,,TRUE,Leave
Leave_9,10,54.0/10.6 (10),54.0108,10.65,(Monoisotopic),TRUE,Leave
Leave_10,11,54.0/20.3 (11),54.0109,20.25,,TRUE,Leave
Leave_11,12,54.0/29.0 (12),54.0109,29.01,,TRUE,Leave
Leave_12,13,54.0/0.8 (13),54.0109,0.8,,TRUE,Leave
Leave_13,14,54.0/17.8 (14),54.0111,17.77,,TRUE,Leave
Leave_14,15,54.0/11.8 (15),54.0118,11.85,,TRUE,Leave
Leave_15,16,54.0/7.3 (16),54.0119,7.27,(Monoisotopic),TRUE,Leave
Leave_16,17,55.1/1.0 (17),55.0556,0.97,(Monoisotopic),TRUE,Leave
Leave_17,18,56.9/28.9 (18),56.9437,28.94,,TRUE,Leave
Leave_18,19,57.1/16.2 (19),57.0722,16.16,,TRUE,Leave
Leave_19,20,59.0/0.7 (20),58.9558,0.67,,TRUE,Leave
Leave_20,21,60.1/0.7 (21),60.0818,0.73,,TRUE,Leave
Leave_21,22,62.0/0.6 (22),62.0261,0.64,,TRUE,Leave
Leave_22,23,66.0/0.7 (23),66.0207,0.66,,TRUE,Leave
Leave_23,24,67.0/0.6 (24),67.0234,0.65,(Monoisotopic),TRUE,Leave
Leave_24,25,67.5/0.6 (25),67.5246,0.65,(Isotope),TRUE,Leave
Leave_25,26,68.0/0.7 (26),68.0214,0.65,,TRUE,Leave
Leave_26,27,69.0/0.6 (27),68.9833,0.65,(Monoisotopic),TRUE,Leave
Leave_27,28,69.0/18.7 (28),68.9943,18.7,,TRUE,Leave
Leave_28,29,69.0/19.5 (29),68.9943,19.5,,TRUE,Leave
Leave_29,30,69.0/14.7 (30),68.9944,14.75,,TRUE,Leave
Leave_30,31,69.0/28.9 (31),68.9955,28.95,,TRUE,Leave
Leave_31,32,69.0/1.0 (32),68.9986,1.03,,TRUE,Leave
Leave_32,33,69.0/24.2 (33),69.046,24.18,,TRUE,Leave
Leave_33,34,69.0/22.9 (34),69.0469,22.91,,TRUE,Leave
Leave_34,35,69.0/24.8 (35),69.047,24.77,(Monoisotopic),TRUE,Leave
Leave_35,36,69.0/23.7 (36),69.0472,23.7,,TRUE,Leave
Leave_36,37,69.1/1.1 (37),69.0716,1.09,(Monoisotopic),TRUE,Leave
Leave_37,38,70.1/0.7 (38),70.0653,0.73,,TRUE,Leave
Leave_38,39,72.1/1.0 (39),72.082,0.97,(Monoisotopic),TRUE,Leave
Leave_39,40,72.9/28.9 (40),72.9376,28.95,(Monoisotopic),TRUE,Leave
Leave_40,41,77.0/10.8 (41),77.0383,10.77,,TRUE,Leave
Leave_41,42,79.1/10.8 (42),79.0545,10.79,,TRUE,Leave
Leave_42,43,81.1/18.6 (43),81.0699,18.65,,TRUE,Leave
Leave_43,44,81.9/0.8 (44),81.9385,0.8,(Monoisotopic),TRUE,Leave
Leave_44,45,81.9/29.2 (45),81.9386,29.23,(Monoisotopic),TRUE,Leave
Leave_45,46,81.9/15.1 (46),81.9386,15.08,(Monoisotopic),TRUE,Leave
Leave_46,47,81.9/28.9 (47),81.9387,28.95,(Monoisotopic),TRUE,Leave
Leave_47,48,82.0/0.6 (48),82.0136,0.63,(Monoisotopic),TRUE,Leave
Leave_48,49,83.0/15.5 (49),82.9966,15.53,(Isotope),TRUE,Leave
