ID,Index,Peak Name,m/z,Ret.Time,Group,Use,Tissue
Seed_0,1,50.0/0.6 (1),49.9946,0.62,,TRUE,Seed
Seed_1,2,51.0/0.6 (2),50.9895,0.64,(Monoisotopic),TRUE,Seed
Seed_2,3,52.0/0.6 (3),51.9876,0.64,,TRUE,Seed
Seed_3,4,53.0/0.6 (4),53.0208,0.64,,TRUE,Seed
Seed_4,5,53.5/0.6 (5),53.5212,0.64,(Isotope),TRUE,Seed
Seed_5,6,54.0/29.1 (6),54.0101,29.07,,TRUE,Seed
Seed_6,7,54.0/12.1 (7),54.0106,12.15,,TRUE,Seed
Seed_7,8,54.0/17.5 (8),54.0106,17.46,,TRUE,Seed
Seed_8,9,54.0/13.8 (9),54.0106,13.76,,TRUE,Seed
Seed_9,10,54.0/16.0 (10),54.0106,15.97,,TRUE,Seed
Seed_10,11,54.0/18.5 (11),54.0106,18.51,,TRUE,Seed
Seed_11,12,54.0/20.2 (12),54.0106,20.16,,TRUE,Seed
Seed_12,13,54.0/19.6 (13),54.0106,19.57,,TRUE,Seed
Seed_13,14,54.0/5.1 (14),54.0115,5.09,(Monoisotopic),TRUE,Seed
Seed_14,15,54.0/0.9 (15),54.0116,0.85,,TRUE,Seed
Seed_15,16,54.0/4.6 (16),54.0116,4.62,,TRUE,Seed
Seed_16,17,54.0/0.4 (17),54.0116,0.42,,TRUE,Seed
Seed_17,18,54.0/14.6 (18),54.0116,14.58,,TRUE,Seed
Seed_18,19,54.0/15.1 (19),54.0116,15.1,,TRUE,Seed
Seed_19,20,54.0/14.9 (20),54.0116,14.94,,TRUE,Seed
Seed_20,21,54.0/6.1 (21),54.0117,6.1,,TRUE,Seed
Seed_21,22,54.0/6.9 (22),54.0117,6.86,,TRUE,Seed
Seed_22,23,54.0/15.0 (23),54.0117,14.95,,TRUE,Seed
Seed_23,24,54.0/14.8 (24),54.0158,14.84,,TRUE,Seed
Seed_24,25,55.1/1.0 (25),55.056,0.97,(Monoisotopic),TRUE,Seed
Seed_25,26,56.0/0.6 (26),55.9756,0.65,,TRUE,Seed
Seed_26,27,56.1/1.0 (27),56.0505,0.98,,TRUE,Seed
Seed_27,28,56.1/0.7 (28),56.0517,0.66,,TRUE,Seed
Seed_28,29,58.1/0.7 (29),58.066,0.71,,TRUE,Seed
Seed_29,30,60.0/22.8 (30),60.0457,22.84,,TRUE,Seed
Seed_30,31,60.1/0.7 (31),60.0812,0.72,,TRUE,Seed
Seed_31,32,61.0/1.0 (32),61.011,0.99,,TRUE,Seed
Seed_32,33,62.0/0.6 (33),62.0253,0.64,,TRUE,Seed
Seed_33,34,66.0/0.6 (34),66.0189,0.64,,TRUE,Seed
Seed_34,35,67.0/0.6 (35),67.0232,0.64,(Monoisotopic),TRUE,Seed
