ID,Index,Peak Name,m/z,Ret. Time,Group,Use,Tissue
Silk_0,1,50.0/0.6 (1),49.9929,0.63,,TRUE,silk
Silk_1,2,51.0/0.6 (2),50.9897,0.64,,TRUE,silk
Silk_2,3,52.0/0.6 (3),51.9868,0.64,(Monoisotopic),TRUE,silk
Silk_3,4,53.0/1.1 (4),53.0027,1.07,,TRUE,silk
Silk_4,5,53.0/0.6 (5),53.0213,0.64,(Monoisotopic),TRUE,silk
Silk_5,6,53.5/0.6 (6),53.5209,0.64,,TRUE,silk
Silk_6,7,54.0/13.5 (7),54.0094,13.54,(Monoisotopic),TRUE,silk
Silk_7,8,54.0/5.1 (8),54.0097,5.12,(Monoisotopic),TRUE,silk
Silk_8,9,54.0/0.3 (9),54.0107,0.34,,TRUE,silk
Silk_9,10,54.0/21.0 (10),54.0113,21.03,,TRUE,silk
Silk_10,11,54.0/8.3 (11),54.0113,8.29,,TRUE,silk
Silk_11,12,54.0/16.7 (12),54.0114,16.73,,TRUE,silk
Silk_12,13,54.0/17.8 (13),54.0114,17.83,,TRUE,silk
Silk_13,14,54.0/15.4 (14),54.0115,15.39,,TRUE,silk
Silk_14,15,54.0/19.6 (15),54.0116,19.6,,TRUE,silk
Silk_15,16,54.0/1.5 (16),54.0116,1.46,,TRUE,silk
Silk_16,17,54.0/29.1 (17),54.0118,29.07,,TRUE,silk
Silk_17,18,54.0/0.6 (18),54.019,0.64,(Isotope),TRUE,silk
Silk_18,19,55.1/1.0 (19),55.0555,0.96,(Monoisotopic),TRUE,silk
Silk_19,20,56.0/0.6 (20),55.976,0.62,,TRUE,silk
Silk_20,21,57.1/16.1 (21),57.0722,16.15,,TRUE,silk
Silk_21,22,60.0/0.9 (22),60.0469,0.87,,TRUE,silk
Silk_22,23,60.1/0.7 (23),60.082,0.72,,TRUE,silk
Silk_23,24,62.0/0.6 (24),62.0257,0.64,,TRUE,silk
Silk_24,25,66.0/0.6 (25),66.0205,0.63,,TRUE,silk
Silk_25,26,67.0/0.6 (26),67.0225,0.64,(Monoisotopic),TRUE,silk
Silk_26,27,67.5/0.6 (27),67.5234,0.63,(Isotope),TRUE,silk
Silk_27,28,68.0/15.9 (28),68.012,15.94,,TRUE,silk
Silk_28,29,68.0/17.0 (29),68.0141,16.99,,TRUE,silk
Silk_29,30,68.0/0.6 (30),68.0216,0.64,,TRUE,silk
Silk_30,31,69.0/0.6 (31),68.984,0.64,(Monoisotopic),TRUE,silk
Silk_31,32,69.0/28.9 (32),68.9947,28.95,,TRUE,silk
Silk_32,33,69.0/1.8 (33),68.9978,1.8,(Monoisotopic),TRUE,silk
Silk_33,34,69.0/1.1 (34),68.9989,1.06,,TRUE,silk
Silk_34,35,69.0/0.8 (35),69.034,0.85,(Monoisotopic),TRUE,silk
Silk_35,36,69.0/24.0 (36),69.0462,23.96,,TRUE,silk
Silk_36,37,69.0/28.9 (37),69.0463,28.93,,TRUE,silk
Silk_37,38,69.0/24.8 (38),69.0463,24.84,,TRUE,silk
Silk_38,39,69.0/24.6 (39),69.0463,24.56,,TRUE,silk
Silk_39,40,69.0/23.2 (40),69.0464,23.22,,TRUE,silk
Silk_40,41,69.1/1.1 (41),69.0715,1.1,(Monoisotopic),TRUE,silk
Silk_41,42,70.0/0.6 (42),69.9835,0.63,(Isotope),TRUE,silk
Silk_42,43,70.1/0.7 (43),70.0664,0.74,(Monoisotopic),TRUE,silk
Silk_43,44,70.1/1.9 (44),70.0668,1.91,,TRUE,silk
Silk_44,45,71.0/0.6 (45),70.981,0.64,(Monoisotopic),TRUE,silk
Silk_45,46,72.1/1.0 (46),72.0818,0.96,(Monoisotopic),TRUE,silk
Silk_46,47,72.9/28.9 (47),72.9371,28.94,,TRUE,silk
Silk_47,48,73.1/1.2 (48),73.0663,1.16,,TRUE,silk
Silk_48,49,73.1/1.0 (49),73.0844,0.97,(Isotope),TRUE,silk
Silk_49,50,77.0/1.6 (50),77.0396,1.57,,TRUE,silk
Silk_50,51,79.0/0.9 (51),79.0204,0.94,,TRUE,silk
Silk_51,52,79.1/1.6 (52),79.0545,1.55,,TRUE,silk
Silk_52,53,81.0/0.6 (53),81.0254,0.64,(Monoisotopic),TRUE,silk
